"PLU","CATEGORY","COMMODITY","VARIETY","ADDITIONAL VARIETY INFO","SIZE","NA SIZE","ROW SIZE","RESTRICTIONS","NOTES","AKA","TRADEMARK","BOTANICAL NAME","REVISION DATE","DATE ADDED","GPC","IMAGE"
"4381","","ORANGES","Blood","","","","","","","","","Citrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005889",""
"4382","","ORANGES","Juice","","","","","","","","","Citrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005889",""
"4383","","TANGELO","Minneola","","","","","","","","","Citro paradisi X","1999-12-31 00:00:00","1999-12-31 00:00:00","10005880",""
"4384","","ORANGES","Navel","","Small","125 size and smaller","Average Fruit Dimensions = less than 77mm","Restricted for items grown east of the Mississippi River in the U.S., east of the Ontario/Manitoba border in Canada and Texas, Arizona and New Mexico in the U.S.","","","","Citrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005889",""
"4385","","ORANGES","Navel","","Large","100 size and larger","Average Fruit Dimensions = 77mm and above","Restricted for items grown east of the Mississippi River in the U.S., east of the Ontario/Manitoba border in Canada and Texas, Arizona and New Mexico in the U.S.","","","","Citrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005889",""
"4386","","ORANGES","Temple","","Small","125 size and smaller","Average Fruit Dimensions = less than 65mm","","","","","Citrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005889",""
"4387","","ORANGES","Temple","","Large","100 size and larger","Average Fruit Dimensions = 65mm and above","","","","","Citrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005889",""
"4388","","ORANGES","Valencia","","Large","80 size and larger","Average Fruit Dimensions = 77mm and above","Restricted for items grown east of the Mississippi River in the U.S or east of the Ontario/Manitoba border in Canada.","","","","Citrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005889",""
"4388","","ORANGES","Valencia","","Large","56 size and larger","Average Fruit Dimensions = 84mm and above","","","","","Citrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005889",""
"4389","","ORANGES","Retailer Assigned","","","","","","","","","Citrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4390","","ORANGES","Retailer Assigned","","","","","","","","","Citrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4391","","ORANGES","Retailer Assigned","","","","","","","","","Citrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4392","","ORANGES","Retailer Assigned","","","","","","","","","Citrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4393","","ORANGES","Retailer Assigned","","","","","","","","","Citrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4394","","PAPAYA/PAWPAW","Regular","","Large","9 size and larger","","","","","","Carica papaya","1999-12-31 00:00:00","1999-12-31 00:00:00","10005954",""
"4395","","PAPAYA/PAWPAW","Cooking/Mexican","","","","","","","","","Carica papaya","1999-12-31 00:00:00","1999-12-31 00:00:00","10005954",""
"4396","","PAPAYA/PAWPAW","Retailer Assigned","","","","","","","","","Carica papaya","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4397","","PASSION FRUIT","Purple","","","","","","","","","Passiflora edulis","1999-12-31 00:00:00","1999-12-31 00:00:00","10005953",""
"4398","","PASSION FRUIT","Retailer Assigned","","","","","","","","","Passiflora spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4399","","PEACHES","Indian","","","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005912",""
"4400","","PEACHES","White Flesh","","Small","70 size and smaller","Average Fruit Weight =  less than 185g","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005912",""
"4401","","PEACHES","White Flesh","","Large","66 size and larger","Average Fruit Weight =  185g and above","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005912",""
"4402","","PEACHES","Yellow Flesh","","Small","70 size and smaller","Average Fruit Weight =  less than 185g","Restricted for items grown east of the Mississippi River in the U.S. or east of the Ontario/Manitoba border in Canada.","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005912",""
"4403","","PEACHES","Yellow Flesh","","Large","66 size and larger","Average Fruit Weight =  185g and above","Restricted for items grown east of the Mississippi River in the U.S. or east of the Ontario/Manitoba border in Canada.","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00","10005912",""
"4404","","PEACHES","Retailer Assigned","","","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4405","","PEACHES","Retailer Assigned","","","","","","","","","","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4406","","PEARS","Asian/Nashi","White","","","","","","","","Pyrus pyrifolia","1999-12-31 00:00:00","1999-12-31 00:00:00","10005902",""
"4407","","PEARS","Asian/Nashi","Yellow","","","","","","","","Pyrus pyrifolia","1999-12-31 00:00:00","1999-12-31 00:00:00","10005902",""
"4408","","PEARS","Asian/Nashi","Brown","","","","","","","","Pyrus pyrifolia","1999-12-31 00:00:00","1999-12-31 00:00:00","10005902",""
"4409","","PEARS","Bartlett/Williams/WBC","","Large","100 size and larger","Average Fruit Weight =  180g and above","","","","","Pyrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903",""
"4410","","PEARS","Bartlett","Red/Red Sensation","","","","","","","","Pyrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903",""
